Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0402_1005Metric",144.150000,-87.900000,-90.000000,top
"C2","100nF","C_0402_1005Metric",142.325000,-59.257500,-90.000000,top
"C3","100nF","C_0402_1005Metric",138.555000,-66.926300,180.000000,top
"C4","10uF","C_0603_1608Metric",138.575000,-68.737500,180.000000,top
"C5","15pF","C_0402_1005Metric",147.975000,-75.575000,0.000000,top
"C6","10uF","C_0603_1608Metric",144.825000,-75.075000,0.000000,top
"C7","1uF","C_0402_1005Metric",134.400000,-83.550000,180.000000,top
"C8","10pF","C_0402_1005Metric",139.424999,-81.302499,90.000000,top
"C9","100nF","C_0402_1005Metric",142.775000,-79.050000,180.000000,top
"C10","1uF","C_0402_1005Metric",141.375000,-85.755000,-90.000000,top
"C11","100nF","C_0402_1005Metric",145.400000,-76.825000,0.000000,top
"C12","10pF","C_0402_1005Metric",139.450000,-83.320000,-90.000000,top
"C13","100nF","C_0402_1005Metric",141.850000,-83.625000,90.000000,top
"C14","100nF","C_0402_1005Metric",154.475000,-80.355000,-90.000000,top
"C15","100nF","C_0402_1005Metric",151.250000,-88.975000,180.000000,top
"C16","Panasonic-FR-A:180uF/35V","CP_Radial_D8.0mm_P5.00mm",125.967500,-110.104651,90.000000,top
"C17","Panasonic-FR-A:180uF/35V","CP_Radial_D8.0mm_P5.00mm",164.417500,-117.654651,90.000000,top
"C18","22uF","C_0805_2012Metric",144.525000,-63.987500,90.000000,top
"C19","22uF","C_0805_2012Metric",150.825000,-59.012500,180.000000,top
"D1","LED_USR","LED_0603_1608Metric",140.775000,-77.675000,0.000000,top
"D2","SS54","D_SMA",126.392500,-114.577000,180.000000,top
"D3","SS54","D_SMA",135.742500,-116.602000,0.000000,top
"D4","LED_PWR","LED_0603_1608Metric",150.975000,-56.487500,0.000000,top
"FB1","100R","L_0805_2012Metric",139.025000,-85.350000,180.000000,top
"J1","Conn_SWD","PinHeader_1x04_P2.54mm_Vertical",167.250000,-49.185000,0.000000,top
"J2","Conn_24V_DC","PinHeader_1x02_P2.54mm_Vertical",127.967500,-120.302000,-90.000000,top
"J3","Conn_CAN_1","PinHeader_1x04_P2.54mm_Vertical",150.945000,-49.700000,-90.000000,top
"J4","USB_B_Micro","USB_Micro-B_Amphenol_10118194-0001LF_Horizontal",168.000000,-63.305000,90.000000,top
"J5","Conn_CAN_2","PinHeader_1x03_P2.54mm_Vertical",139.350000,-49.700000,-90.000000,top
"J6","Conn_Pin_L","PinSocket_1x14_P2.54mm_Vertical",120.775000,-90.205000,180.000000,top
"J7","Conn_Pin_R","PinSocket_1x09_P2.54mm_Vertical",167.150000,-90.200000,180.000000,top
"JP1","Jumper_BOOT","PinHeader_1x03_P2.54mm_Vertical",149.410000,-71.075000,90.000000,top
"JP2","Jumper_CAN_T","PinHeader_1x02_P2.54mm_Vertical",137.525000,-55.600000,-90.000000,top
"L1","PE-53829SNLT1:112uH","IND_829SNLT_PUL",151.292500,-111.802000,-90.000000,top
"R1","120","R_0402_1005Metric",140.600000,-55.550000,0.000000,top
"R2","10k","R_0402_1005Metric",150.450000,-73.675000,180.000000,top
"R3","10k","R_0402_1005Metric",148.550000,-91.110000,90.000000,top
"R4","1k5","R_0402_1005Metric",139.925000,-79.200000,0.000000,top
"R5","1k5","R_0402_1005Metric",148.075000,-57.437500,90.000000,top
"R6","1k5","R_0402_1005Metric",156.375000,-80.875000,-90.000000,top
"SW1","SW_RST","SW_PUSH_6mm",129.600000,-76.950000,90.000000,top
"TP1","24V TP","PinHeader_1x01_P2.54mm_Vertical",125.667500,-98.802000,90.000000,top
"TP2","5V TP","PinHeader_1x01_P2.54mm_Vertical",164.167500,-105.777000,90.000000,top
"TP3","3.3V TP","PinHeader_1x01_P2.54mm_Vertical",157.300000,-61.250000,0.000000,top
"TP4","GND TP","PinHeader_1x01_P2.54mm_Vertical",131.700000,-81.150000,0.000000,top
"U1","ATA6561-GAQW-N","SOIC8_4P9X3P9MC_MCH",138.575000,-61.987500,90.000000,top
"U2","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",148.325000,-82.875000,0.000000,top
"U3","LM2596S-5","TO-263-5_TabPin3",136.567500,-103.152000,90.000000,top
"U4","AMS1117-3.3","SOT-223-3_TabPin2",150.975000,-64.337500,0.000000,top
"Y1","8MHz","XTAL_NX3225GD-8MHZ-STD-CRA-3_NDK",137.175000,-82.297500,90.000000,top
